label,model,retriever,questions,chunks,hit_1,hit_5,mrr,map,ndcg_5
dense_mini,sentence-transformers/paraphrase-multilingual-MiniLM-L12-v2,dense,65,381,0.2,0.5230769230769231,0.3390473139194626,0.3213733278150853,0.31924437767180847
dense_e5,intfloat/multilingual-e5-small,dense,65,381,0.46153846153846156,0.7076923076923077,0.5711304356330129,0.5333512497188876,0.5575187581922272
dense_distil,sentence-transformers/distiluse-base-multilingual-cased-v2,dense,65,381,0.38461538461538464,0.5230769230769231,0.46267171200538687,0.4131817130564173,0.42249730226842047
bm25,bm25,bm25,65,381,0.2923076923076923,0.7076923076923077,0.47602844889279233,0.41026574951401856,0.4011524272324008
hybrid_mini,sentence-transformers/paraphrase-multilingual-MiniLM-L12-v2,hybrid_dense_bm25,65,381,0.2923076923076923,0.6153846153846154,0.44840928534244584,0.42670237885589896,0.3682033767823384
hybrid_mini_rerank25,cross-encoder/mmarco-mMiniLMv2-L12-H384-v1,hybrid_dense_bm25_rerank,65,381,0.4153846153846154,0.8153846153846154,0.5796736736854295,0.5224757134117257,0.5654809855558701
hybrid_e5,intfloat/multilingual-e5-small,hybrid_dense_bm25,65,381,0.5384615384615384,0.8461538461538461,0.667009417275114,0.6094867338608642,0.5984703742325089
hybrid_e5_rerank25,cross-encoder/mmarco-mMiniLMv2-L12-H384-v1,hybrid_dense_bm25_rerank,65,381,0.4153846153846154,0.8461538461538461,0.5883092566390111,0.596747113489566,0.5867377633601633
