label,category,questions,hit_1,hit_5,mrr,map,ndcg_5
base,conditions,3,0.6666666666666666,0.6666666666666666,0.6811594202898551,0.6811594202898551,0.6666666666666666
base,contacts,3,0.0,0.3333333333333333,0.1923076923076923,0.15897435897435896,0.10219119879424306
base,cost,25,0.32,0.84,0.5464571428571429,0.5253996447996448,0.6042276799642913
base,dates,25,0.84,0.96,0.8786666666666666,0.7380142357462641,0.6406186882816013
base,documents,3,0.3333333333333333,0.6666666666666666,0.5303030303030303,0.5303030303030303,0.5436432511904858
base,dormitory,3,0.3333333333333333,1.0,0.611111111111111,0.611111111111111,0.7103099178571526
base,programs,3,1.0,1.0,1.0,0.8892857142857142,0.9031757348303415
