label,model,retriever,questions,chunks,hit_1,hit_5,mrr,map,ndcg_5,rerank_top_n
base,intfloat/multilingual-e5-small,hybrid_dense_bm25,65,385,0.5538461538461539,0.8615384615384616,0.6872729076943124,0.618428429515999,0.613832607910215,
mmarco_t10,cross-encoder/mmarco-mMiniLMv2-L12-H384-v1,hybrid_dense_bm25_rerank,65,385,0.5076923076923077,0.8307692307692308,0.6467356671570718,0.5958709746252107,0.6119453808000596,10
mmarco_t15,cross-encoder/mmarco-mMiniLMv2-L12-H384-v1,hybrid_dense_bm25_rerank,65,385,0.5230769230769231,0.8615384615384616,0.6736694598600953,0.6326842202589693,0.642754014655688,15
mmarco_t25,cross-encoder/mmarco-mMiniLMv2-L12-H384-v1,hybrid_dense_bm25_rerank,65,385,0.49230769230769234,0.8461538461538461,0.6531027795733678,0.6312873732395516,0.6259307850696114,25
mmarco_t50,cross-encoder/mmarco-mMiniLMv2-L12-H384-v1,hybrid_dense_bm25_rerank,65,385,0.49230769230769234,0.8461538461538461,0.6407269397269397,0.6354654277808073,0.6113322676889071,50
msmarco_t10,cross-encoder/ms-marco-MiniLM-L6-v2,hybrid_dense_bm25_rerank,65,385,0.3230769230769231,0.6461538461538462,0.4783046537260584,0.4981775137650833,0.4084030218523278,10
msmarco_t15,cross-encoder/ms-marco-MiniLM-L6-v2,hybrid_dense_bm25_rerank,65,385,0.3230769230769231,0.5846153846153846,0.4555335359549406,0.48143917944982584,0.3643976934603664,15
msmarco_t25,cross-encoder/ms-marco-MiniLM-L6-v2,hybrid_dense_bm25_rerank,65,385,0.3076923076923077,0.5230769230769231,0.4372316816678414,0.46615205678764543,0.34291721317516277,25
msmarco_t50,cross-encoder/ms-marco-MiniLM-L6-v2,hybrid_dense_bm25_rerank,65,385,0.2153846153846154,0.49230769230769234,0.3638496980003009,0.4053988126593399,0.28534367848951414,50
